<IBSN> <Title> <Author>
14 The_Great_Gatsby Fitzgerald
7 Nineteen_Eighty-Four Orwell
4 Pride_and_Prejudice Austen
19 Wuthering_Heights Bronte
16 The_Catcher_in_the_Rye Salinger
24 Little_Women May
8 Lord_of_the_Flies Golding
9 Adventures_of_Huckleberry_Finn Twain
18 Moby_Dick Melville
1 Brave_New_World Huxley
23 Animal_Farm Orwell
10 Dracula Stoker
13 The_Count_of_Monte_Cristo Dumas
22 Crime_and_Punishment Dostoyevsky
2 To_Kill_a_Mockingbird Lee
20 The_Scarlet_Letter Hawthorne
17 Fahrenheit_451 Bradbury
21 The_Picture_of_Dorian_Gray Wilde
3 The_Secret_Garden Hodgson
11 Jane_Eyre Bronte
15 Slaughterhouse-Five Vonnegut
25 The_Adventures_Of_Tom_Sawyer Twain
12 A_Christmas_Carol Dickens
5 Great_Expectations Dickens
6 A_Tale_of_Two_Cities Dickens
